datetime,open,high,low,close,volume
2024-01-01 00:00:00,42241.1,42591.0,42241.1,42452.66,499.65044691
2024-01-01 01:00:00,42452.7,42811.0,42415.0,42594.68,485.14529218999996
2024-01-01 02:00:00,42617.9,42684.0,42488.03,42571.32,264.33162484999997
2024-01-01 03:00:00,42571.32,42628.0,42235.0,42325.11,334.21580715
2024-01-01 04:00:00,42325.1,42419.0,42200.0,42389.77,334.25317723
2024-01-01 05:00:00,42389.78,42434.0,42175.65,42231.47,222.31330073
2024-01-01 06:00:00,42215.8,42463.83,42199.63,42400.9,342.69771832
2024-01-01 07:00:00,42400.3,42534.49,42396.8,42496.49,437.32337452
2024-01-01 08:00:00,42496.58,42593.0,42451.0,42552.7,170.26756387
2024-01-01 09:00:00,42590.0,42740.0,42533.6,42650.97,167.91288328
2024-01-01 10:00:00,42650.97,42796.0,42625.75,42688.5,182.05004129
2024-01-01 11:00:00,42686.73,42812.0,42598.94,42690.0,179.15597488999998
2024-01-01 12:00:00,42686.1,42822.0,42610.77,42647.83,169.24373588
2024-01-01 13:00:00,42676.2,42788.0,42608.98,42715.88,134.62920089
2024-01-01 14:00:00,42717.53,42765.0,42581.54,42635.19,372.62677128999997
2024-01-01 15:00:00,42610.1,42883.0,42596.9,42797.33,395.1230274999999
2024-01-01 16:00:00,42799.37,42898.0,42680.01,42742.35,464.53821912999996
2024-01-01 17:00:00,42732.4,42860.0,42710.0,42833.66,299.79171879999996
2024-01-01 18:00:00,42819.1,43281.0,42819.0,43120.92,1096.1116441200002
2024-01-01 19:00:00,43123.82,43579.0,43106.97,43547.61,938.43785032
2024-01-01 20:00:00,43533.7,43849.9,43533.7,43742.0,974.56839202
2024-01-01 21:00:00,43664.6,43818.0,43467.97,43632.21,496.15946044
2024-01-01 22:00:00,43606.6,43691.0,43389.0,43546.06,342.48836249999994
2024-01-01 23:00:00,43512.5,44240.8,43204.4,44220.78,2268.0966841299996
2024-01-02 00:00:00,44180.8,45250.0,44113.2,45093.17,4582.957620229996
2024-01-02 01:00:00,45093.14,45417.45,44698.4,44894.58,2657.7468435199994
2024-01-02 02:00:00,44891.41,45500.0,44885.0,45485.31,2824.1874309299983
2024-01-02 03:00:00,45485.32,45601.0,45174.0,45473.97,2313.6968790600004
2024-01-02 04:00:00,45476.27,45544.1,45175.0,45218.83,905.4857183100005
2024-01-02 05:00:00,45218.84,45370.54,45131.0,45200.0,604.7006981399999
2024-01-02 06:00:00,45200.1,45361.61,45150.0,45208.54,717.3440029199999
2024-01-02 07:00:00,45205.8,45707.69,45168.0,45520.1,1589.1500744000007
2024-01-02 08:00:00,45520.1,45900.0,45352.0,45808.07,1070.8004718300006
2024-01-02 09:00:00,45800.1,45925.82,45655.0,45711.49,774.71251901
2024-01-02 10:00:00,45719.8,45755.41,45468.0,45600.0,490.34515922
2024-01-02 11:00:00,45621.04,45740.73,45218.2,45487.83,1040.0740490300002
2024-01-02 12:00:00,45488.9,45640.61,45312.06,45339.3,868.81585083
2024-01-02 13:00:00,45335.0,45784.0,45292.8,45691.05,1380.3651945699999
2024-01-02 14:00:00,45660.0,45863.46,45051.88,45300.8,2504.2108802299995
2024-01-02 15:00:00,45305.12,45375.82,44696.0,45236.25,2841.54241349
2024-01-02 16:00:00,45235.85,45435.0,44910.5,45395.48,1560.3084687800003
2024-01-02 17:00:00,45395.48,45424.0,44973.95,44997.95,1541.7967677400002
2024-01-02 18:00:00,45018.1,45321.0,44965.62,45172.54,1333.5797359699998
2024-01-02 19:00:00,45172.24,45288.0,44823.75,45055.75,2346.5238879300005
2024-01-02 20:00:00,45052.18,45228.0,44759.12,44801.96,1741.0629596800006
2024-01-02 21:00:00,44802.8,45156.0,44630.29,45128.54,1640.9875673899999
2024-01-02 22:00:00,45128.54,45320.0,44861.08,45000.74,999.30919601
2024-01-02 23:00:00,45004.2,45083.0,44812.99,44972.8,783.9237630199999
2024-01-03 00:00:00,44972.81,45262.0,44883.0,45156.5,810.6944934699999
2024-01-03 01:00:00,45156.5,45389.0,45126.68,45341.12,531.12615268
2024-01-03 02:00:00,45341.12,45467.0,45238.5,45299.77,617.3457086899999
2024-01-03 03:00:00,45303.0,45350.0,45176.12,45286.95,431.91542473999993
2024-01-03 04:00:00,45289.08,45344.0,45140.01,45206.7,378.59158902
2024-01-03 05:00:00,45199.81,45348.0,45122.08,45184.54,373.21644791999995
2024-01-03 06:00:00,45209.8,45415.0,45172.77,45344.02,475.2350245299999
2024-01-03 07:00:00,45360.8,45453.0,44957.01,45027.43,413.22550437999996
2024-01-03 08:00:00,45079.0,45238.0,45021.26,45219.26,724.41484837
2024-01-03 09:00:00,45221.54,45559.0,45199.9,45358.71,536.2831754399999
2024-01-03 10:00:00,45358.72,45439.0,45046.48,45163.58,432.9125166199999
2024-01-03 11:00:00,45202.0,45220.0,43500.01,43737.06,4085.799457539999
2024-01-03 12:00:00,43700.0,43944.0,39501.0,42797.0,11210.201692449984
